"","fips","location","rpl_themes","e_pov150","e_unemp","e_hburd","e_nohsdp","e_uninsur","e_age65","e_age17","e_disabl","e_sngpnt","e_limeng","e_minrty","e_munit","e_mobile","e_crowd","e_noveh","e_groupq"
"18","44003020601","Census Tract 206.01; Kent County; Rhode Island",0.1265,633,155,358,501,115,698,1267,593,137,0,329,155,0,29,19,173
"19","44003020602","Census Tract 206.02; Kent County; Rhode Island",0.5061,542,61,426,198,126,675,523,480,79,12,282,7,366,70,17,10
"20","44003020603","Census Tract 206.03; Kent County; Rhode Island",0.3347,1251,148,748,368,132,1381,876,1327,54,93,459,245,71,0,114,6
"21","44003020604","Census Tract 206.04; Kent County; Rhode Island",0.6571,1191,120,908,269,119,835,1114,1156,469,80,1083,563,0,12,140,28
"22","44003020701","Census Tract 207.01; Kent County; Rhode Island",0.3551,135,37,110,157,117,357,452,414,23,30,133,0,0,0,25,36
"23","44003020702","Census Tract 207.02; Kent County; Rhode Island",0.2122,512,35,289,197,125,1100,961,789,71,7,240,0,144,6,24,61
"24","44003020703","Census Tract 207.03; Kent County; Rhode Island",0.249,452,143,475,140,88,1315,1527,647,71,3,531,190,187,49,75,153
"25","44003020800","Census Tract 208; Kent County; Rhode Island",0.2245,280,326,334,464,140,1159,1178,710,31,24,832,119,70,0,72,41
"26","44003020901","Census Tract 209.01; Kent County; Rhode Island",0.1347,344,116,459,58,35,601,683,417,38,7,673,309,0,0,208,15
"27","44003020903","Census Tract 209.03; Kent County; Rhode Island",0.2204,578,61,197,153,0,903,1761,622,15,33,1084,84,53,39,110,103
"28","44003020904","Census Tract 209.04; Kent County; Rhode Island",0.0612,126,16,199,53,0,825,1184,398,15,11,714,93,0,0,92,90
"29","44003021001","Census Tract 210.01; Kent County; Rhode Island",0.498,248,97,272,176,49,462,479,534,73,25,513,45,0,35,30,0
"30","44003021002","Census Tract 210.02; Kent County; Rhode Island",0.5306,660,119,700,107,347,856,770,635,233,15,588,325,0,23,79,21
"31","44003021100","Census Tract 211; Kent County; Rhode Island",0.4367,1101,166,739,46,98,865,840,794,202,0,450,387,0,0,207,24
"32","44003021200","Census Tract 212; Kent County; Rhode Island",0.4571,249,115,517,213,279,612,575,448,58,108,1221,203,0,24,9,11
"33","44003021300","Census Tract 213; Kent County; Rhode Island",0.4286,397,81,566,91,166,933,815,656,147,27,467,43,54,47,44,38
